name,city,state,country,workerCount,womenPercentage,engagementProgram,x,y
Hi-P Suzhou,Suzhou,Jiangsu,China,1001+,26-50%,NA,120.734,31.403
The Airtex Group,Minneapolis,Minnesota,United States,0-100,51-75%,NA,-93.268,44.971
"Dongguan Walsin Technology Electronics Co., Ltd",Dongguan,Guangdong,China,1001+,26-50%,NA,113.747,23.044
"Fruit Of The Earth, Inc. - Grand Prairie",Grand Prairie,Texas,United States,101-500,26-50%,NA,-97.028,32.656999
"Shenzhen Grandsun Electronic Co., Ltd.",Shenzhen,Guangdong,China,1001+,51-75%,NA,114.055,22.545
"Rugao Dingfeng Textile Products Co., Ltd",Rugao,Jiangsu,China,0-100,76-100%,NA,120.564,32.393
Presto Products ,South Boston,Virginia,United States,101-500,26-50%,NA,-78.901,36.699
"Ningbo Deli Binding Equipment Co., Ltd.",Ningbo,Zhejiang,China,501-1000,51-75%,NA,121.62,29.862
"Dongguan Kong Hing Knitting Garment Co., Ltd.",Dongguan,Guangdong,China,0-100,51-75%,NA,113.747,23.044
Chemico International,Chennai,Tamil Nadu,India,0-100,0-25%,NA,80.284,13.08
Hind Rubber Factory,Jalandhar,Punjab,India,0-100,0-25%,NA,75.577,31.332
Ashoka Foam Multiplast Ltd ,Bareilly,Uttar Pradesh,India,0-100,0-25%,NA,79.41,28.352
TDK (Suzhou) MLCC Factory,Suzhou,Jiangsu,China,101-500,51-75%,NA,120.734,31.403
AMS Asia Inc.,Calamba City,Laguna,Philippines,101-500,26-50%,NA,121.125,14.188
Clifton Cotton Mills Limited,Chittagong,Chittagong,Bangladesh,1001+,0-25%,Better Work,91.868,22.39
Innovative Gloves Company Ltd,Hat Yai,Songkhla,Thailand,501-1000,51-75%,NA,100.458,7.003
Ideal Technology Company Limited,Dongguan,Guangdong,China,101-500,26-50%,NA,113.747,23.044
Gaurav Containers Limited,Daman,Dadra and Nagar Haveli,India,0-100,0-25%,NA,72.832,20.414
"Zhejiang Sunny Optics CO., LTD.",Yuyao,Zhejiang ,China,1001+,26-50%,NA,121.156,30.09
"SII Crystal Technology, Inc.",Tochigi-shi ,Tochigi,Japan,101-500,26-50%,NA,139.708,36.368
"Weihai Dishang Huajin Garment Co., Ltd",Weihai,Shandong,China,101-500,76-100%,NA,122.115,37.512
PrimeAsia Leather Corporation,Dongguan,Guangdong,China,501-1000,26-50%,NA,113.747,23.044
"Hisense Ronshen (Yangzhou) Refrigerator Co., Ltd.",Yangzhou,Jiangsu,China,1001+,26-50%,NA,119.437,32.393
"Auspeed Sports Equipment Co., Ltd",Huizhou,Guangdong,China,0-100,0-25%,NA,114.414,23.106
"Viet Hoa Electronics Co.,Ltd.",Đà Nẵng,Đà Nẵng,Vietnam,1001+,76-100%,NA,108.14,16.081
"Guangdong Green Precision Components Co., Ltd.  ",Huizhou,Guangdong,China,1001+,26-50%,NA,114.414,23.106
Intergel Pharmaceuticals Inc,Irvington,New Jersey,United States,101-500,26-50%,NA,-74.235,40.732
"Hefei BOE Optoelectronics Technology Co., Ltd.",Hefei,Anhui,China,1001+,0-25%,NA,117.222,31.823
"Shanghai Ningyi Dress Co., Ltd",Zhangzhou,Fujian,China,0-100,0-25%,NA,117.409,24.406
Lenny Fashions Limited ,Dhaka,Dhaka,Bangladesh,1001+,76-100%,HERfinance ,90.272,23.94
Western Digital (Thailand) Co. Ltd. (HDD Operations),BangPa-In ,Ayuthaya,Thailand,1001+,76-100%,NA,100.578,14.35
International Vitamin Corporation (IVCN),Jingjiang,Jiangsu,China,101-500,26-50%,NA,120.269,32.017
Mirza International Limited ,Unnao,Uttar Pradesh,India,501-1000,0-25%,NA,80.5,26.5
"Hosonic Electronic Co., Ltd. (Hangzhou)",Hangzhou,Zhejiang,China,501-1000,76-100%,NA,120.205,30.249
"Shanghai Dai-Ichi Seiko Mould & Plastics Co., Ltd",Shanghai,Shanghai,China,501-1000,26-50%,NA,121.489,31.225
Dongguan Quan Sheng Electric,Dongguan,Guangdong,China,1001+,51-75%,NA,113.747,23.044
Roots Hair And Beauty Pvt Ltd. ,Bhiwnadi,Maharashtra,India,0-100,0-25%,NA,73.046,19.284
Partner In Pet Food CZ S.R.O. ,Veselí nad Lužnicí,South Bohemia,Czech Republic,101-500,26-50%,NA,14.707,49.195
Rapid Kitchen & Home Appliances,Rajkot,Gujarat,India,0-100,51-75%,NA,70.802,22.305
"Fuzhun Precision Electronics(Hebi) Co.,LTD",Hebi,Henan,China,1001+,51-75%,NA,114.294,35.746
Shenzhen Gaowei Handbag Products Co Ltd,Shenzhen,Guangdong,China,101-500,51-75%,NA,114.055,22.545
"H-Welldone Manufacturing Co., Ltd.",Dongguan,Guangdong,China,101-500,51-75%,NA,113.747,23.044
Amar Shoe & Leatherwears,Noida,Uttar Pradesh,India,101-500,0-25%,NA,77.355,28.573
